Category,Film Title,Speech,Winner,Year
 Sound, The Right Stuff,"To all the members of the Academy, thank you very much for listening.  There were a lot of people involved; we're gonna name them all but we're gonna break the sound barrier doing it so it'll be all right.  The producers Bob Chartoff, Irwin Winkler, all the people at The Ladd Company, Gareth Wigan, to Roy Segal at the Saul Zaentz Film Center in Berkeley where we mixed the film.  On the home front, my wife Susan Wengraf, Anya and Matthew, my kids, for putting up with me when I wasn't there.  And most of all to a guy who was always there pushing the outside of the envelope, giving us the time, the enthusiasm, and the strength to carry on to give a great soundtrack for his great picture, our director Phil Kaufman.TOM SCOTT:We also have to recognize Todd Boekelheide and Andy Wiskes.  Wonderful talents. They were the fourth and fifth men on our crew.  Steve Sutter, also the fellows at Warner Hollywood for all their help, Dolby Labs, Walter Murch, and Kadi Kiiss.RANDY THOM:Ed, Barbara, C. J., Dennie, Diana, John, Karen, Pat, Tim, Twiggy, Vivien, Jay Boekelheide, to Walter Murch and Ben Burtt, my teachers, Stephanie Borris*, thank you.DAVID MacMILLAN:And my guys: Steve Powell and Danny Vincent*.  [Speaks in Gaelic.]"," Mark Berger, Tom Scott, Randy Thom, David MacMillan", 1983 (56th) Academy Awards
 Sound, Amadeus,"Thanks to Saul Zaentz and Milos Forman for the opportunity to work on ""Amadeus.""  And to my wife Susan Wengraf, Matthew and Anya.TOM SCOTT:Thanks to our San Francisco sound editors, Roy Segal, Alice Caldwell and Kadi Kiiss.TODD BOEKELHEIDE:Thanks to John Strauss whose wonderfully creative work on this film made my work on it quite pleasurable.  Also Mark Adler, for the great tracks, and Neville Marriner, for some wonderful readings of the music.  And finally, Wolfgang, for writing it down.CHRIS NEWMAN:Kenny Weston, Neil Fallon, Bob Gorman, Peter and Hope Newmen, all the people in Czechoslovakia, with profound gratitude, thank you."," Mark Berger, Tom Scott, Todd Boekelheide, Chris Newman", 1984 (57th) Academy Awards
 Sound, Out of Africa,"Thank you very much to the members of the Academy and to Universal.  And a special debt of gratitude to Sydney Pollack for putting his trust in us when there are so many other talented people around.  He shares his enthusiasm for sound and his special gift for it with us and I can't say enough about what he donated to this.  So, thank you very much.LARRY STENSVOLD:I'd like to thank John Barry, Danny Wallin and Clif Kohlweck for such great music to work with.  And I'd like to thank the Academy for such a wonderful honor.  Thank you.GARY ALEXANDER:I'd like to thank everyone and Tommy McCarthy, Jr.  And just thanks.PETER HANDFORD:I must thank the Academy for this wonderful honor and also Sydney Pollack for his patience in waiting for all those aircraft to stop and go away from the set.  And for those marvelous actors who just said their words so I just had to sit back and listen.  It was a pleasure.  Thank you very much."," Chris Jenkins, Gary Alexander, Larry Stensvold, Peter Handford", 1985 (58th) Academy Awards
 Sound, Platoon,"Thank the members of the Academy very much.  Also have to thank Oliver Stone, Claire Simpson, Gordon Daniel, Leo Chaloukian and everybody at Ryder Sound. Thank you very much.RICHARD ROGERS:Thank you.[Music begins to play.]"," John K. Wilkinson, Richard Rogers, Charles ""Bud"" Grenzbach, Simon Kaye", 1986 (59th) Academy Awards
 Sound, The Last Emperor,"I think Billy [Crystal] said it all.  I've got a radio mic here somewhere but I don't know where it is [laughs].  We'd like to thank Jeremy Thomas, Bernardo Bertolucci, and everybody in the Academy for making our dreams very simply come to reality.  Thank you very, very much.BILL ROWE:Before I wake up, I agree with him.  Thank you."," Bill Rowe, Ivan Sharrock", 1987 (60th) Academy Awards
 Sound, Bird,"Good afternoon.  I thank you.  I thank you.  I'm so happy.  This is my fourth nomination and I don't know what to say other than I am so delighted.  These wonderful people with me here, Les Fresholtz and Vern Poore and Dick Alexander, thank you for everything.  I'd like to thank David Valdes, also Clint Eastwood.  And also my boom man, Marvin Lewis, and Robert Harris.  Thank you.  Thank you for everything."," Les Fresholtz, Dick Alexander, Vern Poore, Willie D. Burton", 1988 (61st) Academy Awards
 Sound, Glory,"This is truly an honor and a privilege for all of us to be up here.  My sincere thanks goes to these gentlemen on stage: Elliot Tyson, Gregg Rudloff, Russell Williams.  Thanks to a wonderful director, Ed Zwick, the producers Freddie Fields and Sarah Caplan.  Thanks to the man who wrote the music, James Horner.  The film editor, Steve Rosenblum, the music editor, Jim Henrikson, the sound editor, Lon Bender.  Kelsey*, Kya*, my sister Jannie*, and all of our moms.  Thanks.  Jump in there.RUSSELL WILLIAMS II:I just wish I could say thank you in all the languages of all the home countries that are watching us this evening.  God bless.  Thank you all."," Donald O. Mitchell, Gregg C. Rudloff, Elliot Tyson, Russell Williams II", 1989 (62nd) Academy Awards
 Sound, Dances With Wolves,"An incredible tribute considering the competition this year.  All great films.  I'd like to first thank Jim and Kevin for giving me the call.  My wife Renee, for convincing me I would love the prairie.  My posse:  Mary Jo, Albert, and Darryl.  And the great Lakota Sioux nation, for inspiring this film.  God bless.JEFFREY PERKINS:This is an incredible honor.  I'd to thank our director Kevin Costner, our producer Jim Wilson, the sound editors at Soundbusters, Hari Ryatt and Bob Fitzgerald, and members of the Academy for this wonderful honor.  It's a great birthday present! Thank you very much.[Music begins to play.]GREG WATKINS:And my wife Pernelle*, and Michael, Jake*, Collette*, I love you.  Thank you."," Jeffrey Perkins, Bill W. Benton, Greg Watkins, Russell Williams II", 1990 (63rd) Academy Awards
,,,,
 Sound, The Last of the Mohicans,"We're completely taken by surprise.  We want to thank the members of the Academy for recognizing us.  It's a collective effort.  We'd like to thank our partner Paul Massey, who's not here tonight.  Lon Bender and his crew from Soundelux.  Our composers, Randy, Trevor, Daniel Lanois.  And most of all, very importantly, Michael Mann, who has worked so hard, has given all of his efforts to really paying attention to the contribution sound can make to pictures.  We're eternally grateful and we'd like to thank him personally. Thank you very much."," Chris Jenkins, Doug Hemphill, Mark Smith, Simon Kaye", 1992 (65th) Academy Awards
 Sound, Jurassic Park,"I'm so proud to have a small part in bringing this very special piece of magic to the screen.  Thank you to the Academy, to Bob Jackson who's worked with me for ten years, and of course to Steven Spielberg who made it all possible.GARY SUMMERS:I'd also like to thank the Academy, Universal Studios, director Steven Spielberg.  The folks at Amblin, producers Kathleen Kennedy and Gerry Molen, associate producer Colin Wilson, picture editor Michael Kahn, supervising sound editor Richard Hymns.  A great cast of sound editors, Skywalker Sound North and a great support staff up there.  And all our family and friends.RON JUDKINS:Thank you all.GARY SUMMERS:Thank you very much."," Gary Summers, Gary Rydstrom, Shawn Murphy, Ron Judkins", 1993 (66th) Academy Awards
 Sound, Speed,"I'd like to thank the Academy members for your vote of confidence.  A special thanks to the film's biggest supporter, Mr. Ted Gagliano at 20th Century Fox. To a man that gave rush hour traffic a new meaning, our director Jan De Bont. Skywalker Sound, Universal Studios, for the use of their facilities.  Stephen Flick, Weddington Productions, Gary and Greg Gerlich, Vision Tracks*.  Our back-up team:  Sergio Reyes, Tenny Sebastian, Gary Rogers and Ezra Dweck.  And to my lovely wife of eighteen years, Catherine Landaker, thank you for the patience and understanding with all the long hours.  I love you.STEVE MASLOW:Thanks to the Academy for this award.  Thank you very much.DAVID R.B. MacMILLAN:Steve Bowerman, Kevin Patterson, and my wife Patty."," Gregg Landaker, Steve Maslow, Bob Beemer, David R. B. MacMillan", 1994 (67th) Academy Awards
,,,,
 Sound, The English Patient,"Thank you to everyone at the Saul Zaentz Film Center for their technical and artistic support.  Thank you to Pat Jackson for great sound effects.  Thank you to Saul Zaentz and Anthony Minghella, a collaborative and compassionate director.  Thank you to my wife Aggie.  Thank you.MARK BERGER:I'd also like to thank our scintillatingly effervescent sound editor Pat Jackson, and my wife Susan, and particularly the Academy for honoring a film that could be as exciting and engaging in its quiet moments as in its loud ones.  Thanks for listening.DAVID PARKER:[Music begins.]  Thanks to the Academy, Saul and Anthony, everyone who worked on the sound of the film, and to Stephanie, Amanda and Molly.  Thank you very much."," Walter Murch, Mark Berger, David Parker, Chris Newman", 1996 (69th) Academy Awards
 Sound, Titanic,"The only time in my career I'm going to follow Robin Williams.  Thank you to the Academy.  Thank you most of all to Jim Cameron, whose passion for filmmaking makes all of us do our best work.  And also, I think, with the great success of ""Titanic"" I hope that you attain the self-confidence you'll need to succeed in this business.  I'd like to thank Jon Landau for the promise of points -- no.  I'd like to thank Paramount and Fox studios.  Gloria Borders and everyone at Skywalker Sound.  Tom Bellfort, Chris Boyes, their great editing crew, especially Ethan Van der Ryn, Gwen Whittle, and Hugh Waddell.  Thanks to Lora Hirschberg; James Horner, for his beautiful music; Jim Henrikson; Joe E. Rand; Shawn Murphy.MARK ULANO:Thanks, Jim."," Gary Rydstrom, Tom Johnson, Gary Summers, Mark Ulano", 1997 (70th) Academy Awards
 Sound, Saving Private Ryan,"For a whole generation that has never had to experience war, ""Saving Private Ryan"" powerfully and nobly demonstrates the horror of what that is.GARY RYDSTROM:I came back; I have more thanking of Steven to do.  Steven, your eloquence with filmmaking made this film an indelible experience both to watch and to work on.  I want to thank everyone at Skywalker Sound again.  The people of Todd-AO West, Richard Hymns and a wonderful editorial crew.  Paramount, DreamWorks, Marty Cohen.  The entire sound crew strived to make this film true to the memories and the experiences of soldiers.  And we are very proud to be a part of it.  Thank you.RONALD JUDKINS:Thank you, Steven.  Thank you to the Academy."," Gary Rydstrom, Gary Summers, Andy Nelson, Ronald Judkins", 1998 (71st) Academy Awards
 Sound, The Matrix,"This little guy represents so much hard work by so many people and we're very proud to be able to represent them tonight.  There's too many to thank individually, but we do want to thank the Wachowski Brothers and Joel Silver for being just a wonderful experience.  They're a lot of fun to work with. And Joel, we truly appreciate all your trust and support.  Thank you very much."," John Reitz, Gregg Rudloff, David Campbell, David Lee", 1999 (72nd) Academy Awards
 Sound, Gladiator,"First of all, we'd like to dedicate this award to Ken Weston, the other member of our crew who couldn't be here tonight.  He's at home and we miss him.  We'd also like to thank Ridley Scott for his vision and his generosity. We'd like to thank DreamWorks, Universal Pictures, of course Walter Parkes and Laurie MacDonald, Marty Cohen and Lisa Dennis Kennedy.BOB BEEMER:And we're proud to congratulate Doug Wick, David Franzoni and Branko Lustig for a truly great film, as well as our picture editor Pietro Scalia and composers Hans Zimmer and Lisa Gerrard. And everyone at Todd-AO Studios.  And a very special thanks to our supervising sound editor Per Hallberg and his great crew.  And to our families, Cindy, Jessica and Amy, and Mom and Dad.SCOTT MILLAN:And Deborah, Ashley and Brandon.  And thank you, the Academy.  Thank you very much!"," Scott Millan, Bob Beemer, Ken Weston", 2000 (73rd) Academy Awards
 Sound, Black Hawk Down,"This is really something.  On behalf of my colleagues Myron Nettinga and Chris Munro, I 'd like to express how proud we are to be associated with this film and the very honorable men whose actions it depicts.  And we extend our gratitude to all the men in the armed forces who are putting themselves at similar risks every day in order to ensure our freedoms.  We owe this moment to the precision and passion of Ridley Scott, Pietro Scalia and Per Hallberg, and the leadership of Jerry Bruckheimer and Joe Roth at Revolution Studios. Personally, I believe that in everyone's life there's a person that takes you to another level and introduces you to greater possibilities.  My wife has taken me and introduced me to the extraordinary.  Thank you, Pattie."," Michael Minkler, Myron Nettinga, Chris Munro", 2001 (74th) Academy Awards
 Sound, Chicago,"Well, being a third generation sound man, I knew at a young age what I wanted to do in my life.  And it was when I saw ""West Side Story"" for the first time when I was really young, I thought to myself, that's a goal.  I want to work on a picture like that, a magnificent musical.  So Harvey Weinstein, thank you very much for that.  And not to be redundant but, Rob, you're fantastic and thank you very much for everything.DAVID LEE:Peggy, I'd like to say I love you, honey.  I wish you were here with me, but I know you're right there in Toronto at Uno Mas having a wonderful time.  Don Carmody, I wish there were more producers like you.  And to my boom man and my crew, Denis Bellingham and Jason McFarling, I love you, too.DOMINICK TAVELLA:Love you, Molly.  Love you, Vera."," Michael Minkler, Dominick Tavella, David Lee", 2002 (75th) Academy Awards
 Sound Recording, The King and I,[No speech.]," 20th Century-Fox Studio Sound Department, Carl Faulkner, Sound Director", 1956 (29th) Academy Awards
 Sound Recording, Sayonara,"On behalf of the Warner Bros. Sound Department may I say thanks very, very much. Thank you."," Warner Bros. Studio Sound Department, George Groves, Sound Director", 1957 (30th) Academy Awards
 Sound Effects," It's a Mad, Mad, Mad, Mad World","From all of us in the ""Mad, Mad, Mad World"" thank you very, very much.", Walter G. Elliott, 1963 (36th) Academy Awards
 Sound Effects, Goldfinger,"Ladies and gentlemen, it's very difficult to say thank you as sincerely as I'd like to now, but I'm a technician so maybe I can leave the eloquence to the artists that follow. But on behalf of the sound departments that I've worked with and my production company and myself, may I thank you all very sincerely for this tremendous honor. And once more may I thank you for the opportunity of coming to your wonderful country. I think for my wife and I this trip is going to be the greatest experience of our lives. Thank you very much indeed.", Norman Wanstall, 1964 (37th) Academy Awards
 Sound Effects, The Great Race,"To the members of the Academy, thank you very much. To Blake Edwards and Rudi Fehr who gave me the assignment, thanks a lot. And to the team that worked with me to help me win the little boy. Good night and God bless you.", Tregoweth Brown, 1965 (38th) Academy Awards
 Sound Effects, Grand Prix,"Oh, it's just too much. Well, thank you very much to the Academy and the marvelous people I work with.", Gordon Daniel, 1966 (39th) Academy Awards
 Sound Effects, The Dirty Dozen,John is very sorry that he was not able to be here tonight but he asked me to thank all the members of the Academy for this wonderful Oscar. And a special thanks to Mr. Robert Aldrich and everybody at MGM for all the help. Thank you., John Poyner, 1967 (40th) Academy Awards
 Sound Editing, U-571,"Oh, wait [pulls out a paper from his pocket], clock's ticking, got this going, all right.First off, my thanks to the producers of U-571, Dino and Martha De Laurentiis, who make it exciting and an honor to be in this business.  For the director Jonathan Mostow, thank you for your loyalty, talent and tenacity.  To my whole crew, my deepest thanks.  I'd like to mention a few of them that I've tortured the longest:  Miguel Rivera, Keith Bilderbeck, Val Kuklowsky, Bruce Stubblefield, Robert Troy.  To the mixers: Rick, Steve, Gregg and Ivan, you guys set the bar for the best mix I've ever been through.  To my partner, chief antagonist, fiercest promoter, most loyal friend and my wife, Jill, I love you forever and after.  Kids, don't stay up tonight.  We'll be out real late.", Jon Johnson, 2000 (73rd) Academy Awards
 Sound Editing, Pearl Harbor,"Thank you very much to everyone in the Academy for this great honor.  We share these awards with many different individuals.  First of all, Jerry Bruckheimer and Michael Bay.  Thank you both for your many years of loyal support and for offering us unique opportunities in sound.  Walt Disney Studios, Buena Vista Sound, our rerecording mixers Kevin O'Connell and Greg Russell for the great job they always do.  Everyone in the Cary Grant Theatre. Pat Sandston, Peter Devlin, our entire crew, and my wife Shan.CHRISTOPHER BOYES:Ethan Van der Ryn, Beau Borders, Teri Dorman, Victoria Martin, Chris Welch. All the editors and assistants.  Skywalker Sound.  My wife Molly, my mom Katherine, my sons Tyler, Daniel and Aaron.  We'd also like to acknowledge all the veterans from Pearl Harbor and from wars all the way around the world. Thank you."," George Watters II, Christopher Boyes", 2001 (74th) Academy Awards
 Sound Editing, The Lord of the Rings: The Two Towers,"With so much insanity in the world right now we feel particularly blessed to work with such a tight-knit and talented group of people in Wellington, New Zealand.  They've all poured their heart and soul into making this movie and become a family in that process.  And we share this award with all of you and we want to thank a few of you.MICHAEL HOPKINS:Yes, I'd like to thank Peter Jackson and Fran Walsh for this amazing vision they have.ETHAN VAN DER RYN:We want to thank Barrie Osborne and Mark Ordesky for your tenacity.MICHAEL HOPKINS:And I want to thank Chris Ward and Rose Dority for their unflagging support of us right way through.ETHAN VAN DER RYN:David Farmer, Brent Burge, Jason Canovas, David Whitehead, Chris Boyes, Michael Semanick, Mike Hedges.  Thank you all.  We wouldn't be here without you."," Ethan Van der Ryn, Michael Hopkins", 2002 (75th) Academy Awards
